talker,centralized_index,vowel_group,sound_index,F1,F2,F3,F1_F2,corr_01_NH,corr_10_NH,corr_01_HL,corr_10_HL,corr_NH_HL,corr_01_10_NH,corr_01_10_HL,,,
m01,1,aw,m01_01,698.17722,1028.492299,2500.193953,330.315079,0.96095,0.4199,0.96095,0.1928,0.58475,0.96095,0.96095,,,
m01,2,aw,m01_02,665.336397,1115.128414,2537.141344,449.792017,0.78922,0.4249,0.64071,0.2494,0.58214,0.78922,0.64071,,,
m01,3,aw,m01_03,589.953245,1271.449187,2567.772714,681.495942,0.71898,0.4282,0.51736,0.3354,0.5693,0.71898,0.51736,,,
m01,4,aw,m01_04,540.280312,1393.414878,2587.449356,853.134566,0.6837,0.4473,0.43938,0.3518,0.55765,0.6837,0.43938,,,
m01,5,aw,m01_05,526.618308,1529.435453,2602.87322,1002.817145,0.52109,0.5055,0.36456,0.3729,0.51981,0.52109,0.36456,,,
m01,5,iy,m01_06,523.910873,1657.06707,2634.068984,1133.156197,0.50422,0.6145,0.35876,0.4588,0.53046,0.6145,0.4588,,,
m01,4,iy,m01_07,507.191119,1836.923392,2681.039654,1329.732273,0.47614,0.6767,0.34121,0.5429,0.54252,0.6767,0.5429,,,
m01,3,iy,m01_08,454.507851,2003.591257,2719.24548,1549.083406,0.45324,0.7273,0.28384,0.5979,0.51889,0.7273,0.5979,,,
m01,2,iy,m01_09,392.574188,2236.598905,2746.292748,1844.024717,0.41774,0.8376,0.21638,0.767,0.50986,0.8376,0.767,,,
m01,1,iy,m01_10,366.870463,2427.734578,2786.836165,2060.864115,0.4003,0.9946,0.18967,0.9091,0.4725,0.9946,0.9091,,,
m02,1,aw,m02_01,663.709152,940.97635,2714.553237,277.267198,0.96095,0.3455,0.96425,0.1725,0.58171,0.96095,0.96425,,,
m02,2,aw,m02_02,631.371692,1047.920541,2750.285478,416.548849,0.67568,0.3956,0.47898,0.2154,0.58605,0.67568,0.47898,,,
m02,3,aw,m02_03,578.049172,1152.232743,2768.816474,574.183571,0.61637,0.434,0.34222,0.2018,0.5714,0.61637,0.34222,,,
m02,4,aw,m02_04,539.944348,1297.064792,2786.120609,757.120444,0.57779,0.466,0.28365,0.2282,0.55866,0.57779,0.28365,,,
m02,5,aw,m02_05,513.958138,1697.377355,2730.04137,1183.419217,0.5219,0.5328,0.22905,0.2685,0.5495,0.5219,0.22905,,,
m02,5,iy,m02_06,470.734728,1553.90462,2821.959421,1083.169892,0.49317,0.5951,0.21088,0.3296,0.52847,0.5951,0.3296,,,
m02,4,iy,m02_07,438.146647,1689.704112,2861.423902,1251.557465,0.46719,0.6571,0.19984,0.4441,0.50465,0.6571,0.4441,,,
m02,3,iy,m02_08,431.089712,1868.783947,2889.426755,1437.694235,0.40775,0.7604,0.20075,0.6503,0.49342,0.7604,0.6503,,,
m02,2,iy,m02_09,411.808773,2091.8674,2902.366605,1680.058627,0.38302,0.8625,0.21894,0.7921,0.51207,0.8625,0.7921,,,
m02,1,iy,m02_10,365.045455,2284.211006,2930.778901,1919.165551,0.35154,0.9954,0.1752,0.916,0.49208,0.9954,0.916,,,
w01,1,aw,w01_01,866.223256,1327.791979,2802.318996,461.568723,0.96095,0.5183,0.95563,0.2468,0.61454,0.96095,0.95563,,,
w01,2,aw,w01_02,812.74407,1386.27786,2816.780118,573.53379,0.83088,0.5311,0.75826,0.3092,0.60182,0.83088,0.75826,,,
w01,3,aw,w01_03,719.87396,1548.417546,2864.233429,828.543586,0.77921,0.5458,0.6482,0.3608,0.57095,0.77921,0.6482,,,
w01,4,aw,w01_04,674.339104,1636.254144,2891.821148,961.91504,0.72824,0.5693,0.52662,0.3997,0.58166,0.72824,0.52662,,,
w01,5,aw,w01_05,663.54984,1823.156016,2962.441996,1159.606176,0.64491,0.6456,0.38939,0.4501,0.58465,0.64491,0.38939,,,
w01,5,iy,w01_06,634.226912,1995.87664,2557.502183,1361.649728,0.60547,0.7006,0.42155,0.5323,0.5779,0.7006,0.5323,,,
w01,4,iy,w01_07,559.928356,2138.831664,2187.25734,1578.903308,0.60391,0.7408,0.41012,0.6383,0.55196,0.7408,0.6383,,,
w01,3,iy,w01_08,495.552223,2013.161561,2417.923678,1517.609338,0.59584,0.7937,0.38589,0.7355,0.53475,0.7937,0.7355,,,
w01,2,iy,w01_09,461.33939,2189.272835,2545.289704,1727.933445,0.56927,0.8802,0.2946,0.8454,0.5255,0.8802,0.8454,,,
w01,1,iy,w01_10,448.088272,2173.864353,2760.506456,1725.776081,0.51983,0.9954,0.25527,0.9395,0.5012,0.9954,0.9395,,,
w02,1,aw,w02_01,825.143897,1465.066244,2909.624475,639.922347,0.96095,0.4873,0.96738,0.3031,0.60545,0.96095,0.96738,,,
w02,2,aw,w02_02,777.106227,1567.965754,2976.898933,790.859527,0.84223,0.5071,0.79862,0.3363,0.60746,0.84223,0.79862,,,
w02,3,aw,w02_03,688.878923,1669.503121,3071.320185,980.624198,0.78746,0.5154,0.66841,0.3695,0.58274,0.78746,0.66841,,,
w02,4,aw,w02_04,641.459802,1840.063297,3109.569696,1198.603495,0.71899,0.5359,0.54913,0.4041,0.5617,0.71899,0.54913,,,
w02,5,aw,w02_05,623.796378,1928.753911,3129.57221,1304.957533,0.60352,0.6151,0.4048,0.4537,0.56162,0.60352,0.4048,,,
