endpoint1,endpoint2,step,time_index,time,formant,frequency
w01aw,w01iy,1,1,0.092,1,716
w01aw,w01iy,1,1,0.092,2,1123
w01aw,w01iy,1,1,0.092,3,2743
w01aw,w01iy,1,2,0.104,1,735
w01aw,w01iy,1,2,0.104,2,1136
w01aw,w01iy,1,2,0.104,3,2753
w01aw,w01iy,1,3,0.115,1,780
w01aw,w01iy,1,3,0.115,2,1176
w01aw,w01iy,1,3,0.115,3,2777
w01aw,w01iy,1,4,0.127,1,805
w01aw,w01iy,1,4,0.127,2,1220
w01aw,w01iy,1,4,0.127,3,2795
w01aw,w01iy,1,5,0.138,1,818
w01aw,w01iy,1,5,0.138,2,1238
w01aw,w01iy,1,5,0.138,3,2807
w01aw,w01iy,1,6,0.15,1,825
w01aw,w01iy,1,6,0.15,2,1239
w01aw,w01iy,1,6,0.15,3,2805
w01aw,w01iy,1,7,0.161,1,821
w01aw,w01iy,1,7,0.161,2,1225
w01aw,w01iy,1,7,0.161,3,2815
w01aw,w01iy,1,8,0.173,1,813
w01aw,w01iy,1,8,0.173,2,1208
w01aw,w01iy,1,8,0.173,3,2826
w01aw,w01iy,1,9,0.184,1,811
w01aw,w01iy,1,9,0.184,2,1197
w01aw,w01iy,1,9,0.184,3,2822
w01aw,w01iy,1,10,0.196,1,809
w01aw,w01iy,1,10,0.196,2,1193
w01aw,w01iy,1,10,0.196,3,2822
w01aw,w01iy,1,11,0.207,1,807
w01aw,w01iy,1,11,0.207,2,1194
w01aw,w01iy,1,11,0.207,3,2828
w01aw,w01iy,1,12,0.219,1,815
w01aw,w01iy,1,12,0.219,2,1208
w01aw,w01iy,1,12,0.219,3,2834
w01aw,w01iy,1,13,0.23,1,819
w01aw,w01iy,1,13,0.23,2,1220
w01aw,w01iy,1,13,0.23,3,2838
w01aw,w01iy,1,14,0.242,1,817
w01aw,w01iy,1,14,0.242,2,1227
w01aw,w01iy,1,14,0.242,3,2845
w01aw,w01iy,1,15,0.253,1,817
w01aw,w01iy,1,15,0.253,2,1236
w01aw,w01iy,1,15,0.253,3,2855
w01aw,w01iy,1,16,0.264,1,822
w01aw,w01iy,1,16,0.264,2,1251
w01aw,w01iy,1,16,0.264,3,2861
w01aw,w01iy,1,17,0.276,1,826
w01aw,w01iy,1,17,0.276,2,1270
w01aw,w01iy,1,17,0.276,3,2869
w01aw,w01iy,1,18,0.287,1,824
w01aw,w01iy,1,18,0.287,2,1284
w01aw,w01iy,1,18,0.287,3,2883
w01aw,w01iy,1,19,0.299,1,826
w01aw,w01iy,1,19,0.299,2,1306
w01aw,w01iy,1,19,0.299,3,2891
w01aw,w01iy,1,20,0.31,1,832
w01aw,w01iy,1,20,0.31,2,1343
w01aw,w01iy,1,20,0.31,3,2908
w01aw,w01iy,1,21,0.322,1,843
w01aw,w01iy,1,21,0.322,2,1419
w01aw,w01iy,1,21,0.322,3,2883
w01aw,w01iy,1,22,0.333,1,842
w01aw,w01iy,1,22,0.333,2,1461
w01aw,w01iy,1,22,0.333,3,2809
w01aw,w01iy,1,23,0.345,1,833
w01aw,w01iy,1,23,0.345,2,1497
w01aw,w01iy,1,23,0.345,3,2793
w01aw,w01iy,1,24,0.356,1,810
w01aw,w01iy,1,24,0.356,2,1533
w01aw,w01iy,1,24,0.356,3,2794
w01aw,w01iy,1,25,0.368,1,768
w01aw,w01iy,1,25,0.368,2,1575
w01aw,w01iy,1,25,0.368,3,2815
w01aw,w01iy,1,26,0.379,1,716
w01aw,w01iy,1,26,0.379,2,1610
w01aw,w01iy,1,26,0.379,3,2806
w01aw,w01iy,1,27,0.391,1,672
w01aw,w01iy,1,27,0.391,2,1666
w01aw,w01iy,1,27,0.391,3,2805
w01aw,w01iy,1,28,0.402,1,602
w01aw,w01iy,1,28,0.402,2,1882
w01aw,w01iy,1,28,0.402,3,2829
w01aw,w01iy,1,29,0.414,1,506
w01aw,w01iy,1,29,0.414,2,1982
w01aw,w01iy,1,29,0.414,3,2878
w01aw,w01iy,1,30,0.425,1,457
w01aw,w01iy,1,30,0.425,2,1975
w01aw,w01iy,1,30,0.425,3,2898
w01aw,w01iy,2,1,0.092,1,622
w01aw,w01iy,2,1,0.092,2,1417
w01aw,w01iy,2,1,0.092,3,2743
w01aw,w01iy,2,2,0.104,1,644
w01aw,w01iy,2,2,0.104,2,1427
w01aw,w01iy,2,2,0.104,3,2753
w01aw,w01iy,2,3,0.115,1,687
w01aw,w01iy,2,3,0.115,2,1464
w01aw,w01iy,2,3,0.115,3,2777
w01aw,w01iy,2,4,0.127,1,710
w01aw,w01iy,2,4,0.127,2,1502
w01aw,w01iy,2,4,0.127,3,2795
w01aw,w01iy,2,5,0.138,1,723
w01aw,w01iy,2,5,0.138,2,1516
w01aw,w01iy,2,5,0.138,3,2807
w01aw,w01iy,2,6,0.15,1,727
w01aw,w01iy,2,6,0.15,2,1519
w01aw,w01iy,2,6,0.15,3,2805
w01aw,w01iy,2,7,0.161,1,722
w01aw,w01iy,2,7,0.161,2,1515
w01aw,w01iy,2,7,0.161,3,2815
