endpoint1,endpoint2,step,time_index,time,formant,frequency
w02aw,w02iy,1,1,0.132,1,765
w02aw,w02iy,1,1,0.132,2,1196
w02aw,w02iy,1,1,0.132,3,2841
w02aw,w02iy,1,2,0.15,1,784
w02aw,w02iy,1,2,0.15,2,1235
w02aw,w02iy,1,2,0.15,3,2875
w02aw,w02iy,1,3,0.168,1,760
w02aw,w02iy,1,3,0.168,2,1259
w02aw,w02iy,1,3,0.168,3,2871
w02aw,w02iy,1,4,0.186,1,759
w02aw,w02iy,1,4,0.186,2,1254
w02aw,w02iy,1,4,0.186,3,2810
w02aw,w02iy,1,5,0.203,1,770
w02aw,w02iy,1,5,0.203,2,1254
w02aw,w02iy,1,5,0.203,3,2814
w02aw,w02iy,1,6,0.221,1,769
w02aw,w02iy,1,6,0.221,2,1253
w02aw,w02iy,1,6,0.221,3,2805
w02aw,w02iy,1,7,0.239,1,767
w02aw,w02iy,1,7,0.239,2,1253
w02aw,w02iy,1,7,0.239,3,2813
w02aw,w02iy,1,8,0.257,1,771
w02aw,w02iy,1,8,0.257,2,1260
w02aw,w02iy,1,8,0.257,3,2819
w02aw,w02iy,1,9,0.274,1,774
w02aw,w02iy,1,9,0.274,2,1273
w02aw,w02iy,1,9,0.274,3,2823
w02aw,w02iy,1,10,0.292,1,779
w02aw,w02iy,1,10,0.292,2,1291
w02aw,w02iy,1,10,0.292,3,2839
w02aw,w02iy,1,11,0.31,1,781
w02aw,w02iy,1,11,0.31,2,1305
w02aw,w02iy,1,11,0.31,3,2817
w02aw,w02iy,1,12,0.328,1,784
w02aw,w02iy,1,12,0.328,2,1332
w02aw,w02iy,1,12,0.328,3,2834
w02aw,w02iy,1,13,0.346,1,788
w02aw,w02iy,1,13,0.346,2,1362
w02aw,w02iy,1,13,0.346,3,2863
w02aw,w02iy,1,14,0.363,1,792
w02aw,w02iy,1,14,0.363,2,1395
w02aw,w02iy,1,14,0.363,3,2893
w02aw,w02iy,1,15,0.381,1,795
w02aw,w02iy,1,15,0.381,2,1414
w02aw,w02iy,1,15,0.381,3,2888
w02aw,w02iy,1,16,0.399,1,795
w02aw,w02iy,1,16,0.399,2,1435
w02aw,w02iy,1,16,0.399,3,2903
w02aw,w02iy,1,17,0.417,1,799
w02aw,w02iy,1,17,0.417,2,1471
w02aw,w02iy,1,17,0.417,3,2930
w02aw,w02iy,1,18,0.434,1,811
w02aw,w02iy,1,18,0.434,2,1549
w02aw,w02iy,1,18,0.434,3,2957
w02aw,w02iy,1,19,0.452,1,808
w02aw,w02iy,1,19,0.452,2,1621
w02aw,w02iy,1,19,0.452,3,2971
w02aw,w02iy,1,20,0.47,1,791
w02aw,w02iy,1,20,0.47,2,1663
w02aw,w02iy,1,20,0.47,3,2964
w02aw,w02iy,1,21,0.488,1,779
w02aw,w02iy,1,21,0.488,2,1696
w02aw,w02iy,1,21,0.488,3,2875
w02aw,w02iy,1,22,0.506,1,780
w02aw,w02iy,1,22,0.506,2,1785
w02aw,w02iy,1,22,0.506,3,2896
w02aw,w02iy,1,23,0.523,1,778
w02aw,w02iy,1,23,0.523,2,1863
w02aw,w02iy,1,23,0.523,3,2939
w02aw,w02iy,1,24,0.541,1,765
w02aw,w02iy,1,24,0.541,2,1912
w02aw,w02iy,1,24,0.541,3,2974
w02aw,w02iy,1,25,0.559,1,727
w02aw,w02iy,1,25,0.559,2,1954
w02aw,w02iy,1,25,0.559,3,3022
w02aw,w02iy,1,26,0.577,1,675
w02aw,w02iy,1,26,0.577,2,2004
