endpoint1,endpoint2,step,time_index,time,f1,f2,f3
w02aw,w02iy,1,1,0.132,765,1196,2841
w02aw,w02iy,1,2,0.15,784,1235,2875
w02aw,w02iy,1,3,0.168,760,1259,2871
w02aw,w02iy,1,4,0.186,759,1254,2810
w02aw,w02iy,1,5,0.203,770,1254,2814
w02aw,w02iy,1,6,0.221,769,1253,2805
w02aw,w02iy,1,7,0.239,767,1253,2813
w02aw,w02iy,1,8,0.257,771,1260,2819
w02aw,w02iy,1,9,0.274,774,1273,2823
w02aw,w02iy,1,10,0.292,779,1291,2839
w02aw,w02iy,1,11,0.31,781,1305,2817
w02aw,w02iy,1,12,0.328,784,1332,2834
w02aw,w02iy,1,13,0.346,788,1362,2863
w02aw,w02iy,1,14,0.363,792,1395,2893
w02aw,w02iy,1,15,0.381,795,1414,2888
w02aw,w02iy,1,16,0.399,795,1435,2903
w02aw,w02iy,1,17,0.417,799,1471,2930
w02aw,w02iy,1,18,0.434,811,1549,2957
w02aw,w02iy,1,19,0.452,808,1621,2971
w02aw,w02iy,1,20,0.47,791,1663,2964
w02aw,w02iy,1,21,0.488,779,1696,2875
w02aw,w02iy,1,22,0.506,780,1785,2896
w02aw,w02iy,1,23,0.523,778,1863,2939
w02aw,w02iy,1,24,0.541,765,1912,2974
w02aw,w02iy,1,25,0.559,727,1954,3022
w02aw,w02iy,1,26,0.577,675,2004,3063
w02aw,w02iy,1,27,0.595,624,2036,3055
w02aw,w02iy,1,28,0.612,529,2018,3014
w02aw,w02iy,1,29,0.63,445,1940,3006
w02aw,w02iy,1,30,0.648,421,1876,2898
w02aw,w02iy,2,1,0.132,719,1323,2912
w02aw,w02iy,2,2,0.15,740,1360,2948
w02aw,w02iy,2,3,0.168,724,1383,2946
w02aw,w02iy,2,4,0.186,723,1378,2888
w02aw,w02iy,2,5,0.203,731,1381,2895
w02aw,w02iy,2,6,0.221,729,1381,2891
w02aw,w02iy,2,7,0.239,728,1379,2898
w02aw,w02iy,2,8,0.257,731,1385,2900
w02aw,w02iy,2,9,0.274,733,1397,2901
w02aw,w02iy,2,10,0.292,737,1414,2915
w02aw,w02iy,2,11,0.31,738,1427,2895
w02aw,w02iy,2,12,0.328,741,1453,2911
w02aw,w02iy,2,13,0.346,745,1482,2939
w02aw,w02iy,2,14,0.363,748,1513,2964
w02aw,w02iy,2,15,0.381,750,1532,2958
w02aw,w02iy,2,16,0.399,750,1553,2970
w02aw,w02iy,2,17,0.417,753,1588,2990
w02aw,w02iy,2,18,0.434,763,1662,3016
w02aw,w02iy,2,19,0.452,761,1729,3029
w02aw,w02iy,2,20,0.47,746,1767,3021
w02aw,w02iy,2,21,0.488,736,1797,2942
w02aw,w02iy,2,22,0.506,737,1880,2958
w02aw,w02iy,2,23,0.523,737,1954,2988
w02aw,w02iy,2,24,0.541,726,1998,3007
w02aw,w02iy,2,25,0.559,693,2026,3032
w02aw,w02iy,2,26,0.577,648,2054,3057
w02aw,w02iy,2,27,0.595,601,2050,3044
w02aw,w02iy,2,28,0.612,515,2004,3009
w02aw,w02iy,2,29,0.63,436,1957,3013
w02aw,w02iy,2,30,0.648,424,1909,2963
w02aw,w02iy,3,1,0.132,674,1460,2985
w02aw,w02iy,3,2,0.15,698,1496,3024
w02aw,w02iy,3,3,0.168,688,1517,3022
w02aw,w02iy,3,4,0.186,687,1511,2969
w02aw,w02iy,3,5,0.203,693,1518,2978
w02aw,w02iy,3,6,0.221,691,1519,2981
w02aw,w02iy,3,7,0.239,689,1516,2986
w02aw,w02iy,3,8,0.257,691,1520,2985
w02aw,w02iy,3,9,0.274,693,1531,2982
w02aw,w02iy,3,10,0.292,696,1547,2993
w02aw,w02iy,3,11,0.31,697,1559,2976
w02aw,w02iy,3,12,0.328,700,1584,2991
w02aw,w02iy,3,13,0.346,703,1610,3016
w02aw,w02iy,3,14,0.363,705,1640,3038
w02aw,w02iy,3,15,0.381,707,1658,3031
w02aw,w02iy,3,16,0.399,706,1679,3039
